query_sample	query_sample_basename	genotyped_sample	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	source_file
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI522195	5	44316.29	2.364418182788241	1.809402	18743	15028	0.8017926692631916	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI507630	6	44743.42	2.3872069572640453	1.78023	18743	14985	0.7994984794323214	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI424010	7	44986.57	2.400179800458838	1.79679	18743	14960	0.7981646481353039	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI424116	8	45019.73	2.4019489942912022	1.791618	18743	14957	0.7980045883796617	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI407051	9	45693.7	2.437907485461239	1.753496	18743	14889	0.794376567251774	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407020-asm20.sorted.bam	PI407020-asm20.sorted.bam	PI424034	10	46041.16	2.4564456063597078	1.777596	18743	14854	0.7925092034359494	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407020-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI407300	1	9457.831	0.47182993265153406	2.147042	20045	19912	0.9933649289099526	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI407303	2	10408.34	0.5192486904464954	2.141149	20045	19816	0.9885757046645048	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI407302	3	24735.25	1.233986031429284	2.12002	20045	18369	0.9163881267148914	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI407301	4	25161.0	1.2552257420803192	2.103838	20045	18326	0.9142429533549513	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI479769	5	45202.24	2.255038164130706	1.97291	20045	16302	0.8132701421800947	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI464929A	6	45795.62	2.284640558742829	2.024424	20045	16242	0.8102768770266899	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI464925C	7	46439.19	2.3167468196557746	2.038712	20045	16177	0.8070341731105014	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI342618A	8	46864.94	2.33798653030681	2.006048	20045	16134	0.8048889997505613	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI458539A	9	47438.51	2.3666006485407833	1.988486	20045	16076	0.8019955101022699	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI407303-asm20.sorted.bam	PI407303-asm20.sorted.bam	PI522195	10	47558.02	2.3725627338488398	1.984648	20045	16064	0.8013968570715889	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI407303-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI507847	1	13117.55	0.635632601637835	2.162394	20637	20158	0.9767892620051364	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
